timestamp,roll,pitch,yaw,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z
3.49006e+07,-1.65069,0.857144,-0.374156,-nan,4.83018e+20,-1.23805e+23,2.7708e+11,4.10786e+09,-2.04609e+12
3.49056e+07,-2.10926,1.16074,-2.19532,-nan,4.83158e+20,-1.23877e+23,2.77049e+11,4.00501e+09,-2.04675e+12
3.49105e+07,-3.11132,0.872543,1.81851,-nan,4.83304e+20,-1.23948e+23,2.77016e+11,4.17854e+09,-2.04738e+12
3.49155e+07,-2.99135,0.537788,0.744782,-nan,4.83456e+20,-1.2402e+23,2.77208e+11,4.35031e+09,-2.04793e+12
3.49205e+07,-2.6202,0.674386,-0.0824323,-nan,4.83608e+20,-1.24091e+23,2.77435e+11,4.34441e+09,-2.04852e+12
3.49255e+07,-2.37503,0.9695,-1.04364,-nan,4.83755e+20,-1.24163e+23,2.77531e+11,4.22927e+09,-2.04915e+12
3.49305e+07,-2.60317,1.11871,-2.31031,-nan,4.839e+20,-1.24234e+23,2.77476e+11,4.14665e+09,-2.04981e+12
3.49354e+07,2.81215,0.94077,2.27175,-nan,4.8405e+20,-1.24306e+23,2.77397e+11,4.28383e+09,-2.05043e+12
3.49404e+07,2.67118,0.707164,1.38267,-nan,4.84207e+20,-1.24378e+23,2.77474e+11,4.49104e+09,-2.05101e+12
3.49454e+07,2.54155,0.623402,0.619827,-nan,4.84367e+20,-1.24449e+23,2.77695e+11,4.59285e+09,-2.05157e+12
3.49504e+07,2.38937,0.645527,-0.0304201,-nan,4.84526e+20,-1.24521e+23,2.77932e+11,4.53489e+09,-2.05212e+12
3.49554e+07,2.19099,0.839304,-0.584924,-nan,4.84679e+20,-1.24593e+23,2.7807e+11,4.37547e+09,-2.05271e+12
3.49603e+07,1.88785,1.11264,-1.08204,-nan,4.84826e+20,-1.24665e+23,2.78089e+11,4.21667e+09,-2.05334e+12
3.49653e+07,1.11903,1.35848,-1.75956,-nan,4.8497e+20,-1.24736e+23,2.78032e+11,4.11157e+09,-2.05399e+12
3.49703e+07,0.956132,1.24303,-1.5036,-nan,4.85108e+20,-1.24808e+23,2.78013e+11,3.95756e+09,-2.05463e+12
3.49753e+07,0.870052,1.05531,-0.999471,-nan,4.8524e+20,-1.2488e+23,2.78102e+11,3.77223e+09,-2.05523e+12
3.49802e+07,0.663132,0.993583,-0.487734,-nan,4.85368e+20,-1.24952e+23,2.78289e+11,3.6498e+09,-2.05582e+12
3.49852e+07,0.423658,1.0667,0.116689,-nan,4.85496e+20,-1.25024e+23,2.78493e+11,3.66336e+09,-2.05642e+12
3.49902e+07,-0.885701,1.26603,-0.151194,-nan,4.85625e+20,-1.25096e+23,2.78622e+11,3.69275e+09,-2.05706e+12
3.49952e+07,-1.78814,1.09078,0.231159,-nan,4.85757e+20,-1.25168e+23,2.78742e+11,3.77279e+09,-2.05771e+12
3.50002e+07,-1.97179,1.30245,1.35073,-nan,4.85892e+20,-1.2524e+23,2.7871e+11,3.84491e+09,-2.05837e+12
3.50051e+07,0.416223,1.17736,-1.19949,-nan,4.86021e+20,-1.25312e+23,2.78753e+11,3.6783e+09,-2.059e+12
3.50101e+07,0.21522,0.906114,-0.0749274,-nan,4.86148e+20,-1.25384e+23,2.78996e+11,3.64751e+09,-2.05957e+12
3.50151e+07,-1.50444,1.28934,-0.428533,-nan,4.86276e+20,-1.25456e+23,2.79107e+11,3.65503e+09,-2.06023e+12
3.50201e+07,-2.10571,1.26582,0.416244,-nan,4.86407e+20,-1.25529e+23,2.79156e+11,3.73106e+09,-2.0609e+12
3.50251e+07,-2.68367,1.56083,1.23285,-nan,4.86536e+20,-1.25601e+23,2.79115e+11,3.69645e+09,-2.06157e+12
3.503e+07,0.681128,0.93376,-0.23044,-nan,4.86663e+20,-1.25673e+23,2.79331e+11,3.60658e+09,-2.06216e+12
3.5035e+07,-0.0208042,1.33466,0.408814,-nan,4.86791e+20,-1.25745e+23,2.79456e+11,3.65822e+09,-2.06281e+12
3.504e+07,-2.50981,1.27553,-0.619127,-nan,4.86919e+20,-1.25818e+23,2.79522e+11,3.65744e+09,-2.06349e+12
3.5045e+07,3.09946,1.27906,0.0668735,-nan,4.87047e+20,-1.2589e+23,2.7956e+11,3.6629e+09,-2.06416e+12
3.505e+07,1.33426,1.15347,-0.343518,-nan,4.87172e+20,-1.25962e+23,2.79673e+11,3.56026e+09,-2.0648e+12
3.50549e+07,0.753889,1.09688,0.412854,-nan,4.87298e+20,-1.26035e+23,2.79859e+11,3.5912e+09,-2.06542e+12
3.50599e+07,-2.71787,1.44866,-1.81379,-nan,4.87424e+20,-1.26107e+23,2.79894e+11,3.59553e+09,-2.06609e+12
3.50649e+07,-2.80323,1.0825,-0.641013,-nan,4.87549e+20,-1.2618e+23,2.79995e+11,3.55702e+09,-2.06675e+12
3.50699e+07,2.85815,1.11306,-0.160844,-nan,4.87673e+20,-1.26252e+23,2.80081e+11,3.53096e+09,-2.06743e+12
